address,txId,time_step,relation,source_line
1111DAYXhoxZx2tsRnzimfozo783x1yC2,50030829,25,TxAddr_edgelist.csv,466160
1111DAYXhoxZx2tsRnzimfozo783x1yC2,163620145,29,TxAddr_edgelist.csv,499340
1111DAYXhoxZx2tsRnzimfozo783x1yC2,97229578,39,TxAddr_edgelist.csv,655315
1111DAYXhoxZx2tsRnzimfozo783x1yC2,97231180,39,TxAddr_edgelist.csv,655326
1111DAYXhoxZx2tsRnzimfozo783x1yC2,94363133,43,TxAddr_edgelist.csv,738774
1111DAYXhoxZx2tsRnzimfozo783x1yC2,99274520,43,TxAddr_edgelist.csv,742758
1111DAYXhoxZx2tsRnzimfozo783x1yC2,112876603,47,TxAddr_edgelist.csv,810520
1111DAYXhoxZx2tsRnzimfozo783x1yC2,83360184,48,TxAddr_edgelist.csv,826916
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,14953672,14,TxAddr_edgelist.csv,276493
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,99332126,34,TxAddr_edgelist.csv,556642
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,106470287,34,TxAddr_edgelist.csv,562252
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,288532455,34,TxAddr_edgelist.csv,564975
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,288676970,34,AddrTx_edgelist.csv,309998
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,179129865,9,TxAddr_edgelist.csv,182867
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,179131167,9,TxAddr_edgelist.csv,182875
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,331641310,23,TxAddr_edgelist.csv,434743
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,73195991,42,TxAddr_edgelist.csv,715835
13BZdM8yD4GNnmJGfivASVxdLkbnU4mkfM,99191231,21,AddrTx_edgelist.csv,209947
13BZdM8yD4GNnmJGfivASVxdLkbnU4mkfM,306768589,22,AddrTx_edgelist.csv,229397
13LxgW5iYBrCQVfjnopP6fVvp2ApA5c3BN,757051,13,TxAddr_edgelist.csv,259560
13LxgW5iYBrCQVfjnopP6fVvp2ApA5c3BN,2009904,17,TxAddr_edgelist.csv,311462
18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,8940625,3,TxAddr_edgelist.csv,69681
18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,245405615,3,TxAddr_edgelist.csv,69586
18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,35396164,10,TxAddr_edgelist.csv,183908
1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,37349997,10,TxAddr_edgelist.csv,184991
1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,43007260,10,AddrTx_edgelist.csv,133469
1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,8819305,32,TxAddr_edgelist.csv,528873
1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,355204043,32,AddrTx_edgelist.csv,295506
1FVQPMmiTEhjspqa52w69z83tTrexhamHc,12714251,41,TxAddr_edgelist.csv,688830
1FVQPMmiTEhjspqa52w69z83tTrexhamHc,14262573,42,TxAddr_edgelist.csv,717573
1H9SzTn4meYZ4UTexf1eWRHjzhf6Eo6Egp,4345164,33,TxAddr_edgelist.csv,541787
1H9SzTn4meYZ4UTexf1eWRHjzhf6Eo6Egp,27789589,35,TxAddr_edgelist.csv,580832
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,15238099,14,TxAddr_edgelist.csv,275522
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,1260460,26,TxAddr_edgelist.csv,477915
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,1260557,27,TxAddr_edgelist.csv,484976
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,328838,36,TxAddr_edgelist.csv,613048
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,55379238,43,AddrTx_edgelist.csv,415878
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,55379238,43,TxAddr_edgelist.csv,743009
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,99288129,43,TxAddr_edgelist.csv,742998
1Pis3E3FJ5doR3FtwCEezyTuGVCEP5WfzQ,520060,36,TxAddr_edgelist.csv,613869
1Pis3E3FJ5doR3FtwCEezyTuGVCEP5WfzQ,970318,38,TxAddr_edgelist.csv,642067
1w48JQd1efyGTienGMPh7ZUrE1zcqfCUn,4449438,31,TxAddr_edgelist.csv,523661
1w48JQd1efyGTienGMPh7ZUrE1zcqfCUn,117914128,36,AddrTx_edgelist.csv,326600
31zkAF8k6eVS8MhSQxZ3Fo68PyZchxErcY,3326918,17,TxAddr_edgelist.csv,316780
31zkAF8k6eVS8MhSQxZ3Fo68PyZchxErcY,2418304,26,TxAddr_edgelist.csv,472162
