source_line,address,Time step,num_timesteps_appeared_in,total_txs,last_block_appeared_in,first_block_appeared_in,num_txs_as_sender,num_txs_as receiver
3,1111DAYXhoxZx2tsRnzimfozo783x1yC2,25,6.0,8.0,485959.0,439589.0,0.0,8.0
4,1111DAYXhoxZx2tsRnzimfozo783x1yC2,29,6.0,8.0,485959.0,439589.0,0.0,8.0
5,1111DAYXhoxZx2tsRnzimfozo783x1yC2,39,6.0,8.0,485959.0,439589.0,0.0,8.0
6,1111DAYXhoxZx2tsRnzimfozo783x1yC2,39,6.0,8.0,485959.0,439589.0,0.0,8.0
7,1111DAYXhoxZx2tsRnzimfozo783x1yC2,43,6.0,8.0,485959.0,439589.0,0.0,8.0
8,1111DAYXhoxZx2tsRnzimfozo783x1yC2,43,6.0,8.0,485959.0,439589.0,0.0,8.0
9,1111DAYXhoxZx2tsRnzimfozo783x1yC2,47,6.0,8.0,485959.0,439589.0,0.0,8.0
10,1111DAYXhoxZx2tsRnzimfozo783x1yC2,48,6.0,8.0,485959.0,439589.0,0.0,8.0
31,111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,14,2.0,5.0,457732.0,417408.0,1.0,4.0
32,111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,34,2.0,5.0,457732.0,417408.0,1.0,4.0
33,111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,34,2.0,5.0,457732.0,417408.0,1.0,4.0
34,111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,34,2.0,5.0,457732.0,417408.0,1.0,4.0
35,111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,34,2.0,5.0,457732.0,417408.0,1.0,4.0
41,1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,9,3.0,4.0,473865.0,407342.0,0.0,4.0
42,1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,9,3.0,4.0,473865.0,407342.0,0.0,4.0
43,1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,23,3.0,4.0,473865.0,407342.0,0.0,4.0
44,1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,42,3.0,4.0,473865.0,407342.0,0.0,4.0
59650,13BZdM8yD4GNnmJGfivASVxdLkbnU4mkfM,21,2.0,2.0,433547.0,431523.0,2.0,0.0
59651,13BZdM8yD4GNnmJGfivASVxdLkbnU4mkfM,22,2.0,2.0,433547.0,431523.0,2.0,0.0
67105,13LxgW5iYBrCQVfjnopP6fVvp2ApA5c3BN,13,2.0,2.0,423466.0,415394.0,0.0,2.0
67106,13LxgW5iYBrCQVfjnopP6fVvp2ApA5c3BN,17,2.0,2.0,423466.0,415394.0,0.0,2.0
311153,18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,3,2.0,3.0,409344.0,395239.0,0.0,3.0
311154,18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,3,2.0,3.0,409344.0,395239.0,0.0,3.0
311155,18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,10,2.0,3.0,409344.0,395239.0,0.0,3.0
597027,1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,10,2.0,4.0,453700.0,409344.0,2.0,2.0
597028,1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,10,2.0,4.0,453700.0,409344.0,2.0,2.0
597029,1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,32,2.0,4.0,453700.0,409344.0,2.0,2.0
597030,1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,32,2.0,4.0,453700.0,409344.0,2.0,2.0
639627,1FVQPMmiTEhjspqa52w69z83tTrexhamHc,41,2.0,2.0,473866.0,471842.0,0.0,2.0
639628,1FVQPMmiTEhjspqa52w69z83tTrexhamHc,42,2.0,2.0,473866.0,471842.0,0.0,2.0
717670,1H9SzTn4meYZ4UTexf1eWRHjzhf6Eo6Egp,33,2.0,2.0,459750.0,455712.0,0.0,2.0
717671,1H9SzTn4meYZ4UTexf1eWRHjzhf6Eo6Egp,35,2.0,2.0,459750.0,455712.0,0.0,2.0
742532,1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,14,5.0,6.0,475879.0,417409.0,1.0,5.0
742533,1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,26,5.0,6.0,475879.0,417409.0,1.0,5.0
742534,1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,27,5.0,6.0,475879.0,417409.0,1.0,5.0
742535,1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,36,5.0,6.0,475879.0,417409.0,1.0,5.0
742536,1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,43,5.0,6.0,475879.0,417409.0,1.0,5.0
742537,1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,43,5.0,6.0,475879.0,417409.0,1.0,5.0
1026043,1Pis3E3FJ5doR3FtwCEezyTuGVCEP5WfzQ,36,2.0,2.0,465798.0,461769.0,0.0,2.0
1026044,1Pis3E3FJ5doR3FtwCEezyTuGVCEP5WfzQ,38,2.0,2.0,465798.0,461769.0,0.0,2.0
1079954,1w48JQd1efyGTienGMPh7ZUrE1zcqfCUn,31,2.0,2.0,461762.0,451686.0,1.0,1.0
1079955,1w48JQd1efyGTienGMPh7ZUrE1zcqfCUn,36,2.0,2.0,461762.0,451686.0,1.0,1.0
1085018,31zkAF8k6eVS8MhSQxZ3Fo68PyZchxErcY,17,2.0,2.0,441601.0,423469.0,0.0,2.0
