address,time_step,num_timesteps_appeared_in,total_txs,last_block_appeared_in,first_block_appeared_in,num_txs_as_sender,num_txs_as receiver,observed_steps_through_t,observed_steps_full,unique_dataset_transactions_at_t,unique_dataset_transactions_through_t,unique_dataset_transactions_full,first_observed_step,last_observed_step
1111DAYXhoxZx2tsRnzimfozo783x1yC2,25,6,8,485959,439589,0,8,1,6,1,1,8,25,48
1111DAYXhoxZx2tsRnzimfozo783x1yC2,29,6,8,485959,439589,0,8,2,6,1,2,8,25,48
1111DAYXhoxZx2tsRnzimfozo783x1yC2,39,6,8,485959,439589,0,8,3,6,2,4,8,25,48
1111DAYXhoxZx2tsRnzimfozo783x1yC2,43,6,8,485959,439589,0,8,4,6,2,6,8,25,48
1111DAYXhoxZx2tsRnzimfozo783x1yC2,47,6,8,485959,439589,0,8,5,6,1,7,8,25,48
1111DAYXhoxZx2tsRnzimfozo783x1yC2,48,6,8,485959,439589,0,8,6,6,1,8,8,25,48
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,14,2,5,457732,417408,1,4,1,2,1,1,5,14,34
111khWGs3Mj7UgKT7aS6hLsYK11ii4Gmw,34,2,5,457732,417408,1,4,2,2,4,5,5,14,34
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,9,3,4,473865,407342,0,4,1,3,2,2,4,9,42
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,23,3,4,473865,407342,0,4,2,3,1,3,4,9,42
1121A3vrYYduVPMnfS87ieHFP2bwy6xriv,42,3,4,473865,407342,0,4,3,3,1,4,4,9,42
13BZdM8yD4GNnmJGfivASVxdLkbnU4mkfM,21,2,2,433547,431523,2,0,1,2,1,1,2,21,22
13BZdM8yD4GNnmJGfivASVxdLkbnU4mkfM,22,2,2,433547,431523,2,0,2,2,1,2,2,21,22
13LxgW5iYBrCQVfjnopP6fVvp2ApA5c3BN,13,2,2,423466,415394,0,2,1,2,1,1,2,13,17
13LxgW5iYBrCQVfjnopP6fVvp2ApA5c3BN,17,2,2,423466,415394,0,2,2,2,1,2,2,13,17
18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,3,2,3,409344,395239,0,3,1,2,2,2,3,3,10
18WQWVgKgtncecmSg9J3g23P6bJ5Xsc5xa,10,2,3,409344,395239,0,3,2,2,1,3,3,3,10
1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,10,2,4,453700,409344,2,2,1,2,2,2,4,10,32
1EbD6zmg8giRsR7ajXEnpqpjTqDxUs4rNn,32,2,4,453700,409344,2,2,2,2,2,4,4,10,32
1FVQPMmiTEhjspqa52w69z83tTrexhamHc,41,2,2,473866,471842,0,2,1,2,1,1,2,41,42
1FVQPMmiTEhjspqa52w69z83tTrexhamHc,42,2,2,473866,471842,0,2,2,2,1,2,2,41,42
1H9SzTn4meYZ4UTexf1eWRHjzhf6Eo6Egp,33,2,2,459750,455712,0,2,1,2,1,1,2,33,35
1H9SzTn4meYZ4UTexf1eWRHjzhf6Eo6Egp,35,2,2,459750,455712,0,2,2,2,1,2,2,33,35
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,14,5,6,475879,417409,1,5,1,5,1,1,6,14,43
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,26,5,6,475879,417409,1,5,2,5,1,2,6,14,43
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,27,5,6,475879,417409,1,5,3,5,1,3,6,14,43
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,36,5,6,475879,417409,1,5,4,5,1,4,6,14,43
1Hgpic2MYvRa5E2zChkk3zu5AkxFuFeWUT,43,5,6,475879,417409,1,5,5,5,2,6,6,14,43
1Pis3E3FJ5doR3FtwCEezyTuGVCEP5WfzQ,36,2,2,465798,461769,0,2,1,2,1,1,2,36,38
1Pis3E3FJ5doR3FtwCEezyTuGVCEP5WfzQ,38,2,2,465798,461769,0,2,2,2,1,2,2,36,38
1w48JQd1efyGTienGMPh7ZUrE1zcqfCUn,31,2,2,461762,451686,1,1,1,2,1,1,2,31,36
1w48JQd1efyGTienGMPh7ZUrE1zcqfCUn,36,2,2,461762,451686,1,1,2,2,1,2,2,31,36
31zkAF8k6eVS8MhSQxZ3Fo68PyZchxErcY,17,2,2,441601,423469,0,2,1,2,1,1,2,17,26
31zkAF8k6eVS8MhSQxZ3Fo68PyZchxErcY,26,2,2,441601,423469,0,2,2,2,1,2,2,17,26
